trip_uid,trip_id,route_id,direction_id,start_time,vehicle_id,last_observed,marked_past,num_updates,num_schedule_changes,num_schedule_rewrites
1732914600_5..N73X003,127000_5..N73X003,5,0,1732914600,05 2110  BWG/DYR,1732935954,1732935964,717,0,0
1732914600_7..S,127000_7..S,7,1,1732914600,07 2110 MST/34H,1732934674,1732934679,555,0,0
1732914600_A..S57R,127000_A..S57R,A,1,1732914600,1A 2110 207/LEF,1732937348,1732937363,556,0,0
1732914600_E..S69R,127000_E..S69R,E,1,1732914600,1E 2110 P-A/WTC,1732935276,1732935291,401,0,0
1732914600_G..S14R,127000_G..S14R,G,1,1732914600,1G 2110 CRS/CHU,1732935143,1732935156,819,0,0
1732914600_GS.N01R,127000_GS.N01R,GS,0,1732914600,0S 2110  GCS/TSS,1732932667,1732932679,280,0,0
1732914630_E..N72R,127050_E..N72R,E,0,1732914630,1E 2110+ WTC/P-A,1732935787,1732935802,450,0,0
1732914630_L..S,127050_L..S,L,1,1732914630,0L 2110+8AV/RPY,1732934671,1732934681,513,0,0
1732914660_6..N01R,127100_6..N01R,6,0,1732914660,06 2111  BBR/PEL,1732936359,1732936369,773,0,0
1732914660_6..S01R,127100_6..S01R,6,1,1732914660,06 2111  PEL/BBR,1732936264,1732936269,760,0,0
1732914660_7X..N,127100_7X..N,7X,0,1732914660,07 2111 34H/MST,1732934224,1732934229,481,0,0
1732914660_D..S07R,127100_D..S07R,D,1,1732914660,1D 2111 205/STL,1732932532,1732932542,463,1,0
1732914660_G..N14R,127100_G..N14R,G,0,1732914660,1G 2111 CHU/CRS,1732934736,1732934738,756,0,0
1732914660_J..N41R,127100_J..N41R,J,0,1732914660,1J 2111 BRD/P-A,1732935742,1732935757,736,0,0
1732914690_A..N54R,127150_A..N54R,A,0,1732914690,1A 2111+ LEF/207,1732937423,1732937438,555,0,0
1732914720_1..N03R,127200_1..N03R,1,0,1732914720,01 2112  SFT/242,1732936314,1732936324,767,0,0
1732914720_2..N01R,127200_2..N01R,2,0,1732914720,02 2112  FLA/241,1732938476,1732938484,1055,0,0
1732914720_3..N01R,127200_3..N01R,3,0,1732914720,03 2112  NLT/148,1732936674,1732936684,815,0,0
1732914720_3..S01R,127200_3..S01R,3,1,1732914720,03 2112  148/NLT,1732936884,1732936894,843,0,0
1732914720_L..N,127200_L..N,L,0,1732914720,0L 2112 RPY/8AV,1732934821,1732934831,521,0,0
1732914750_1..S02X021,127250_1..S02X021,1,1,1732914750,01 2112+ 242/14S,1732935414,1732935424,606,0,0
